,,,,,,,10,,,20,,,30,,,,40,,,50,,,60,,,70,,,,80,,,100,,,200,,,,,,,,,,,
ID,Domain,Name,Train,Test,Class,Length,accu,rank,train,accu,rank,train,accu,rank,train,test,accu,rank,train,accu,rank,train,accu,rank,train,accu,rank,train,test,accu,rank,train,accu,rank,train,accu,rank,train,test,,,,,,,,
2,Image,ArrowHead,36,175,3,251,0.676 ,10,0.2,0.691 ,9,0.21,0.703 ,5,0.23,1.89,0.707 ,3,0.26,0.702 ,7,0.27,0.702 ,7,0.3,0.709 ,1.5,0.32,1.84,0.706 ,4,0.35,0.709 ,1.5,0.44,0.702 ,7,0.63,1.8,,,,,,,,
5,Image,BirdChicken,20,20,2,512,0.825 ,10,0.13,0.890 ,9,0.16,0.910 ,6,0.19,0.66,0.925 ,4,0.22,0.905 ,7.5,0.23,0.930 ,3,0.25,0.915 ,5,0.3,0.68,0.905 ,7.5,0.31,0.940 ,2,0.36,0.950 ,1,0.62,0.74,,,,,,,,
7,Simulated,CBF,30,900,3,128,0.980 ,10,0.15,0.989 ,7,0.15,0.986 ,9,0.18,4.61,0.991 ,3,0.21,0.990 ,4.5,0.25,0.989 ,7,0.27,0.990 ,4.5,0.29,4.52,0.989 ,7,0.38,0.992 ,1.5,0.4,0.992 ,1.5,0.54,4.52,,,,,,,,
19,Sensor,Earthquakes,322,139,2,512,0.745 ,8.5,0.39,0.746 ,7,0.36,0.737 ,10,0.37,2.2,0.745 ,8.5,0.36,0.750 ,1,0.38,0.747 ,6,0.37,0.749 ,2,0.47,2.1,0.748 ,4,0.45,0.748 ,4,0.47,0.748 ,4,0.87,1.97,,,,,,,,
20,ECG,ECG200,100,100,2,96,0.792 ,10,0.18,0.807 ,8,0.17,0.809 ,7,0.19,0.87,0.816 ,2,0.21,0.810 ,6,0.2,0.814 ,3,0.2,0.802 ,9,0.25,0.71,0.812 ,4,0.27,0.817 ,1,0.3,0.811 ,5,0.53,0.84,,,,,,,,
23,Device,ElectricDevices,8926,7711,7,96,0.719 ,10,12.1,0.721 ,8.5,14.67,0.721 ,8.5,17.33,59.24,0.724 ,5,20.47,0.724 ,5,20.93,0.724 ,5,20.24,0.726 ,1.5,20.96,62.21,0.726 ,1.5,20.67,0.724 ,5,21.02,0.724 ,5,20.36,59.92,,,,,,,,
34,Motion,Haptics,155,308,5,1092,0.428 ,10,0.34,0.452 ,6.5,0.42,0.452 ,6.5,0.53,3.4,0.451 ,8,0.62,0.456 ,3,0.68,0.455 ,4.5,0.8,0.450 ,9,0.94,3.37,0.455 ,4.5,0.98,0.457 ,2,1.1,0.469 ,1,1.08,3.42,,,,,,,,
36,Motion,InlineSkate,100,550,7,1882,0.366 ,10,0.99,0.375 ,9,1.58,0.379 ,8,2.23,28.34,0.381 ,6.5,2.42,0.391 ,1,2.86,0.386 ,4,3.54,0.381 ,6.5,3.58,28.08,0.387 ,3,3.3,0.384 ,5,3.5,0.388 ,2,3.51,28.33,,,,,,,,
39,Device,LargeKitchenAppliances,375,375,3,720,0.783 ,10,0.79,0.797 ,9,1.28,0.815 ,6,1.8,13.42,0.810 ,8,2.17,0.814 ,7,2.8,0.822 ,2.5,3.18,0.822 ,2.5,3.53,13.01,0.823 ,1,4.15,0.821 ,4.5,4.11,0.821 ,4.5,4.25,14.29,,,,,,,,
41,Sensor,Lightning7,70,73,7,319,0.719 ,10,0.4,0.743 ,8,0.46,0.744 ,6,0.54,0.86,0.749 ,4,0.65,0.756 ,1,0.73,0.753 ,2.5,0.78,0.744 ,6,0.78,0.93,0.738 ,9,0.78,0.744 ,6,0.77,0.753 ,2.5,0.79,0.95,,,,,,,,
42,Simulated,Mallat,55,2345,8,1024,0.964 ,10,0.89,0.968 ,7,1.24,0.968 ,7,1.48,84.34,0.968 ,7,1.67,0.969 ,4.5,1.87,0.970 ,2,2.27,0.966 ,9,2.14,86.37,0.970 ,2,2.13,0.969 ,4.5,2.25,0.970 ,2,2.24,88.21,,,,,,,,
62,Image,ShapesAll,600,600,60,512,0.829 ,10,10.12,0.836 ,3,9.93,0.831 ,8,9.71,11.91,0.832 ,7,10,0.837 ,2,9.91,0.834 ,4.5,10.09,0.834 ,4.5,10.23,12.8,0.833 ,6,9.76,0.838 ,1,10.12,0.830 ,9,10.31,12.99,,,,,,,,
69,Image,Symbols,25,995,6,398,0.917 ,10,0.28,0.936 ,6.5,0.33,0.930 ,9,0.39,5.22,0.935 ,8,0.46,0.938 ,3,0.5,0.940 ,1,0.58,0.938 ,3,0.63,5.28,0.937 ,5,0.62,0.938 ,3,0.62,0.936 ,6.5,0.63,5.29,,,,,,,,
81,Spectro,Wine,57,54,2,234,0.694 ,10,0.19,0.720 ,9,0.23,0.722 ,8,0.25,1.72,0.756 ,4,0.26,0.741 ,7,0.32,0.750 ,5,0.35,0.746 ,6,0.38,1.6,0.772 ,1.5,0.4,0.767 ,3,0.47,0.772 ,1.5,0.85,1.54,,,,,,,,
101,HRM,Fungi,18,186,18,201,0.975 ,1,0.99,0.968 ,5,1.22,0.966 ,6.5,1.23,2.9,0.963 ,9,1.2,0.970 ,3.5,1.23,0.970 ,3.5,1.2,0.957 ,10,1.24,2.86,0.971 ,2,1.2,0.966 ,6.5,1.21,0.965 ,8,1.23,2.83,,,,,,,,
,,,,,,,,9.30 ,28.14 ,,7.43 ,32.41 ,,7.37 ,36.65 ,221.58 ,,5.80 ,41.18 ,,4.20 ,43.16 ,,4.03 ,44.42 ,,5.33 ,46.04 ,226.36 ,,4.13 ,45.75 ,,3.37 ,47.14 ,,4.03 ,48.44 ,227.64 ,,,,,,,,
