,,,1,,,3,,,5,,,7,,,3 v 1,,5 vs 1,,7 vs 1,
ID,Domain,Name,accu,train,test,accu,train,test,accu,train,test,accu,train,test,accu,train,accu,train,accu,train
2,Image,ArrowHead                                         ,0.723 ,0.46,2.73,0.688 ,0.45,2.66,0.697 ,0.460 ,2.410 ,0.704 ,0.470 ,2.370 ,-0.035 ,97.83%,-0.026 ,100.00%,-0.019 ,102.17%
5,Image,BirdChicken                                       ,0.965 ,0.26,0.52,0.950 ,0.27,0.55,0.965 ,0.270 ,0.490 ,0.965 ,0.320 ,0.560 ,-0.015 ,103.85%,0.000 ,103.85%,0.000 ,123.08%
7,Simulated,CBF                                               ,0.992 ,0.36,5.33,0.996 ,0.38,5.02,0.996 ,0.400 ,4.970 ,0.995 ,0.380 ,4.970 ,0.004 ,105.56%,0.004 ,111.11%,0.003 ,105.56%
19,Sensor,Earthquakes                                       ,0.748 ,0.91,3.74,0.748 ,1.2,3.32,0.750 ,1.490 ,3.260 ,0.748 ,1.770 ,2.880 ,0.000 ,131.87%,0.002 ,163.74%,0.000 ,194.51%
20,ECG,ECG200                                            ,0.847 ,0.36,1.69,0.849 ,0.38,1.75,0.861 ,0.380 ,1.710 ,0.852 ,0.420 ,1.550 ,0.002 ,105.56%,0.014 ,105.56%,0.005 ,116.67%
23,Device,ElectricDevices                                   ,0.726 ,36.35,131.93,0.728 ,109.73,119.29,0.727 ,185.890 ,121.820 ,0.729 ,266.030 ,120.660 ,0.002 ,301.87%,0.001 ,511.39%,0.003 ,731.86%
34,Motion,Haptics                                           ,0.471 ,1.27,6.47,0.470 ,1.34,5.94,0.465 ,1.400 ,5.850 ,0.466 ,1.400 ,5.820 ,-0.001 ,105.51%,-0.006 ,110.24%,-0.005 ,110.24%
36,Motion,InlineSkate                                       ,0.386 ,12.42,261.16,0.407 ,13.52,282.89,0.411 ,13.240 ,268.350 ,0.414 ,13.070 ,253.760 ,0.021 ,108.86%,0.025 ,106.60%,0.028 ,105.23%
39,Device,LargeKitchenAppliances                            ,0.822 ,4.37,36.89,0.834 ,4.32,28.57,0.848 ,4.990 ,28.510 ,0.844 ,5.590 ,28.860 ,0.012 ,98.86%,0.026 ,114.19%,0.022 ,127.92%
41,Sensor,Lightning7                                        ,0.764 ,0.77,1.42,0.749 ,0.81,1.26,0.756 ,0.870 ,1.230 ,0.751 ,0.920 ,1.270 ,-0.015 ,105.19%,-0.008 ,112.99%,-0.013 ,119.48%
42,Simulated,Mallat                                            ,0.959 ,0.62,14.04,0.963 ,0.63,13.36,0.966 ,0.620 ,13.160 ,0.967 ,0.650 ,13.080 ,0.004 ,101.61%,0.007 ,100.00%,0.008 ,104.84%
62,Image,ShapesAll                                         ,0.851 ,11.18,31.37,0.847 ,12.91,34.21,0.839 ,15.070 ,31.230 ,0.840 ,17.620 ,33.790 ,-0.004 ,115.47%,-0.012 ,134.79%,-0.011 ,157.60%
69,Image,Symbols                                           ,0.945 ,0.57,5.37,0.938 ,0.61,5.34,0.935 ,0.580 ,5.230 ,0.939 ,0.590 ,5.250 ,-0.007 ,107.02%,-0.010 ,101.75%,-0.006 ,103.51%
81,Spectro,Wine                                              ,0.759 ,0.5,2.74,0.750 ,0.5,2.55,0.741 ,0.510 ,2.590 ,0.704 ,0.500 ,2.470 ,-0.009 ,100.00%,-0.018 ,102.00%,-0.055 ,100.00%
101,HRM,Fungi                                             ,0.930 ,1.1,2.06,0.933 ,1.2,2.03,0.931 ,1.090 ,2.040 ,0.937 ,1.140 ,2.090 ,0.003 ,109.09%,0.001 ,99.09%,0.007 ,103.64%
Mean,,,,,,,,,,,,,,,-0.003 ,119.88%,0.000 ,138.49%,-0.002 ,160.42%
